state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments
Tamil Nadu,Erode,638454,70,11,0,81
Madhya Pradesh,Narmadapuram,461001,70,8,3,81
Madhya Pradesh,Mauganj,486335,76,5,0,81
Tamil Nadu,Thanjavur,612702,67,14,0,81
West Bengal,Howrah,711308,58,23,0,81
Uttar Pradesh,Faizabad,224133,55,26,0,81
Telangana,Nalgonda,508204,67,14,0,81
Odisha,Kendujhar,758017,66,13,2,81
Assam,Sibsagar,785696,66,15,0,81
West Bengal,Hooghly,712503,55,25,1,81
Tamil Nadu,Tiruvannamalai,604401,72,8,1,81
Tamil Nadu,Dindigul,624201,68,13,0,81
Kerala,Thiruvananthapuram,695571,57,22,2,81
Maharashtra,Sindhudurg,416602,76,5,0,81
Tamil Nadu,Dindigul,624204,57,24,0,81
Chhattisgarh,Gaurela-Pendra-Marwahi,495119,68,9,4,81
Andhra Pradesh,Srikakulam,532455,76,5,0,81
Punjab,Amritsar,143103,71,9,1,81
Telangana,Medak,502285,64,17,0,81
Tamil Nadu,Nagapattinam,614809,76,5,0,81
Odisha,Bhadrak,756135,63,17,1,81
Tamil Nadu,Viluppuram,605401,72,9,0,81
Andhra Pradesh,Prakasam,523274,67,14,0,81
Andhra Pradesh,Visakhapatnam,531114,79,2,0,81
Gujarat,Bharuch,392140,73,5,3,81
Karnataka,Chitradurga,577546,72,9,0,81
Andhra Pradesh,Nellore,524322,70,11,0,81
Maharashtra,Pune,410509,46,7,28,81
Odisha,Cuttack,754005,60,21,0,81
Tamil Nadu,Karur,639113,73,8,0,81
Karnataka,Belgaum,591114,70,11,0,81
West Bengal,Paschim Bardhaman,713302,66,13,2,81
Punjab,Rupnagar,140101,69,9,3,81
Punjab,Faridkot,151212,71,10,0,81
Telangana,Warangal,506122,69,12,0,81
Jharkhand,Ramgarh,829134,51,29,1,81
Rajasthan,Dungarpur,314401,57,24,0,81
Gujarat,Vadodara,390013,60,16,5,81
Uttar Pradesh,Firozabad,283130,17,58,6,81
Bihar,Begusarai,851219,48,32,1,81
Punjab,Ferozepur,152003,78,3,0,81
Tamil Nadu,Karur,639104,71,9,1,81
Tamil Nadu,Tiruchirappalli,621105,74,7,0,81
Tamil Nadu,Tirunelveli,627754,73,8,0,81
Karnataka,Vijayapura,586127,72,9,0,81
Telangana,Nirmal,504104,77,4,0,81
Assam,Baksa,781343,53,12,16,81
Punjab,Gurdaspur,143529,76,5,0,81
Tamil Nadu,Tiruchirappalli,621312,63,18,0,81
Madhya Pradesh,Shahdol,484117,73,8,0,81
Gujarat,Vadodara,391780,63,12,6,81
Karnataka,Dakshina Kannada,574144,74,5,2,81
Karnataka,Dakshina Kannada,574222,80,1,0,81
Odisha,Jagatsinghapur,754133,74,7,0,81
Odisha,Ganjam,761146,76,5,0,81
Telangana,Khammam,507163,57,24,0,81
Assam,Hailakandi,788168,54,24,2,80
Telangana,Karimnagar,505405,71,9,0,80
Bihar,Saharsa,852130,46,34,0,80
Telangana,Khammam,507164,63,17,0,80
Kerala,Ernakulam,686662,61,19,0,80
Tamil Nadu,Villupuram,605401,74,6,0,80
Arunachal Pradesh,Kra Daadi,791118,18,58,4,80
Odisha,Mayurbhanj,757107,57,23,0,80
Maharashtra,Yavatmal,445109,64,13,3,80
Telangana,Jagitial,505452,74,6,0,80
Maharashtra,Amravati,444802,78,2,0,80
Telangana,Mahabubnagar,509131,56,24,0,80
Telangana,Sangareddy,502296,61,19,0,80
Tamil Nadu,Thanjavur,613003,67,13,0,80
Tamil Nadu,Thanjavur,612103,69,11,0,80
Odisha,Nayagarh,752090,74,6,0,80
Odisha,Nayagarh,752094,74,6,0,80
Maharashtra,Yavatmal,445401,65,14,1,80
Rajasthan,Rajsamand,313211,39,41,0,80
Kerala,Thiruvananthapuram,695103,59,9,12,80
Odisha,Mayurbhanj,757106,42,38,0,80
Kerala,Kozhikode,673517,43,36,1,80
Odisha,Bargarh,768045,77,3,0,80
Tamil Nadu,Thiruvarur,609501,70,10,0,80
Andhra Pradesh,Ananthapur,515671,76,4,0,80
Tamil Nadu,Krishnagiri,635105,58,22,0,80
Tamil Nadu,Viluppuram,605301,67,13,0,80
Odisha,Bhadrak,756168,72,8,0,80
Odisha,Bhadrak,756122,64,16,0,80
Telangana,Medak,502331,76,4,0,80
Odisha,Kandhamal,762010,70,7,3,80
Karnataka,Vijayapura,586102,77,3,0,80
Bihar,Nalanda,811102,41,39,0,80
Tamil Nadu,Viluppuram,605105,72,8,0,80
Tamil Nadu,Tiruchirappalli,621210,75,5,0,80
Karnataka,Vijayapura,586122,74,5,1,80
Andhra Pradesh,Cuddapah,516162,76,4,0,80
Kerala,Thiruvananthapuram,695026,48,26,6,80
Maharashtra,Akola,444004,63,16,1,80
West Bengal,Haora,711411,55,25,0,80
Karnataka,Bijapur,586115,59,21,0,80
Tamil Nadu,Salem,636106,65,14,1,80
Kerala,Thiruvananthapuram,695301,53,24,3,80
Kerala,Thiruvananthapuram,695311,59,12,9,80
Uttarakhand,Pauri Garhwal,246123,72,7,1,80
West Bengal,North 24 Parganas,700122,58,18,4,80
Maharashtra,Jalgaon,425114,73,7,0,80
Karnataka,Shivamogga,577229,75,2,3,80
Karnataka,Bangalore,560076,55,25,0,80
Karnataka,Bangalore,560058,75,5,0,80
West Bengal,Paschim Bardhaman,713325,61,16,3,80
Uttar Pradesh,Faizabad,224284,49,31,0,80
Kerala,Thrissur,680121,45,27,8,80
Rajasthan,Jhunjhunun,333701,70,10,0,80
Andhra Pradesh,Kurnool,518122,77,3,0,80
Tamil Nadu,Salem,636203,64,14,2,80
Gujarat,Bhavnagar,364710,63,17,0,80
Bihar,Patna,800010,24,56,0,80
Andhra Pradesh,Cuddapah,516126,71,9,0,80
Jammu And Kashmir,Srinagar,190009,65,9,6,80
Odisha,Baleswar,756049,74,6,0,80
Tamil Nadu,Chennai,600030,67,12,1,80
West Bengal,Howrah,711313,58,21,1,80
Andhra Pradesh,Vizianagaram,535501,75,5,0,80
Chhattisgarh,Bemetara,490036,69,10,1,80
Bihar,Rohtas,821311,26,54,0,80
Maharashtra,Mumbai,400026,51,17,12,80
Maharashtra,Kolhapur,416210,74,6,0,80
Andhra Pradesh,Guntur,522236,73,7,0,80
Jammu And Kashmir,Kathua,184202,68,12,0,80
Karnataka,Dakshina Kannada,574142,75,5,0,80
Madhya Pradesh,Chhindwara,480337,78,2,0,80
Uttar Pradesh,Chandauli,221009,59,19,2,80
Tamil Nadu,Virudhunagar,626110,73,7,0,80
Andhra Pradesh,Palnadu,522413,74,6,0,80
Telangana,Khammam,507170,50,30,0,80
Karnataka,Bangalore,560083,60,20,0,80
Gujarat,Vadodara,391761,63,14,3,80
Tamil Nadu,Madurai,625214,71,9,0,80
Andhra Pradesh,Hyderabad,500004,67,13,0,80
Karnataka,Yadgir,585219,77,3,0,80
Karnataka,Chamrajanagar,571443,74,5,1,80
Andhra Pradesh,Kurnool,518217,77,3,0,80
Telangana,Khammam,507168,61,19,0,80
West Bengal,Murshidabad,742103,62,17,1,80
Andhra Pradesh,Chittoor,517421,72,7,1,80
Kerala,Kasaragod,671552,60,18,2,80
Andhra Pradesh,Spsr Nellore,524309,44,23,13,80
Tripura,Gomati,799013,58,22,0,80
Gujarat,Rajkot,363650,75,5,0,80
Odisha,Sambalpur,768017,70,10,0,80
Assam,Dhubri,783332,58,22,0,80
Maharashtra,Chhatrapati Sambhajinagar,431007,14,46,20,80
West Bengal,Nadia,741506,62,15,3,80
Maharashtra,Dhule,424318,51,28,1,80
Tamil Nadu,Thanjavur,614613,70,10,0,80
Jharkhand,Ramgarh,829103,59,21,0,80
Jharkhand,Dhanbad,828106,38,39,3,80
Andhra Pradesh,East Godavari,533429,76,4,0,80
Tamil Nadu,Vellore,632510,67,13,0,80
Telangana,Nalgonda,508377,61,19,0,80
Karnataka,Tumkur,572102,74,6,0,80
Maharashtra,Satara,415004,72,6,2,80
Telangana,Nizamabad,503302,75,5,0,80
Karnataka,Belagavi,590003,76,4,0,80
Bihar,Bhojpur,802205,19,60,1,80
Kerala,Thrissur,680652,60,20,0,80
Bihar,Saran,841433,23,57,0,80
Telangana,Kamareddy,503309,73,7,0,80
Andhra Pradesh,East Godavari,533342,75,5,0,80
Gujarat,Arvalli,383310,58,17,4,79
Punjab,Patiala,147103,74,5,0,79
Punjab,Fatehgarh Sahib,140412,74,5,0,79
Odisha,Cuttack,754007,60,19,0,79
Maharashtra,Osmanabad,413503,65,14,0,79
Karnataka,Udupi,576115,74,5,0,79
Telangana,Karimnagar,505452,70,9,0,79
Tamil Nadu,Sivaganga,630305,64,15,0,79
Karnataka,Mysore,571604,74,5,0,79
Karnataka,Mysuru,570001,71,4,4,79
Assam,Udalguri,784524,58,20,1,79
Uttar Pradesh,Pratapgarh,230127,54,25,0,79
Uttar Pradesh,Prayagraj,211011,46,31,2,79
Gujarat,Junagadh,362015,70,8,1,79
Madhya Pradesh,Maihar,485775,72,6,1,79
Tamil Nadu,Sivaganga,630309,57,22,0,79
Karnataka,Mysuru,570026,64,9,6,79
Uttar Pradesh,Budaun,202521,38,40,1,79
Tamil Nadu,Thanjavur,612504,67,12,0,79
Andhra Pradesh,Visakhapatnam,531033,77,2,0,79
Andhra Pradesh,Guntur,522402,70,9,0,79
Tamil Nadu,Tiruchirappalli,621003,69,10,0,79
Andhra Pradesh,Cuddapah,516217,71,8,0,79
Karnataka,Dharwad,581207,74,5,0,79
Tamil Nadu,Thiruvarur,613701,66,13,0,79
Karnataka,Gulbarga,585322,69,10,0,79
Tamil Nadu,Coimbatore,641005,59,18,2,79
West Bengal,Purba Bardhaman,713141,68,6,5,79
Maharashtra,Nandurbar,425411,56,19,4,79
Gujarat,Tapi,394640,70,7,2,79
Andhra Pradesh,Ananthapur,515201,72,7,0,79
Maharashtra,Chandrapur,442404,76,1,2,79
Tamil Nadu,Salem,636111,70,9,0,79
Tamil Nadu,Vellore,632507,69,10,0,79
Madhya Pradesh,Khandwa,450554,65,14,0,79
Karnataka,Bengaluru,562157,56,13,10,79
Tamil Nadu,Vellore,631151,64,15,0,79
Telangana,Nalgonda,508126,61,18,0,79
Andhra Pradesh,Kakinada,533001,71,6,2,79
Orissa,Bhadrak,756100,74,5,0,79
Jammu And Kashmir,Srinagar,190008,58,15,6,79
Kerala,Ernakulam,683544,60,19,0,79
Karnataka,Belgaum,591243,70,9,0,79
Andhra Pradesh,Ananthapur,515801,71,8,0,79
Odisha,Baleswar,756134,65,14,0,79
Tamil Nadu,Pudukkottai,614805,49,30,0,79
Uttar Pradesh,Ambedkar Nagar,224183,27,52,0,79
Telangana,K.V. Rangareddy,500098,63,16,0,79
Pondicherry,Pondicherry,605007,75,4,0,79
Kerala,Thiruvananthapuram,695615,63,16,0,79
Tamil Nadu,Dindigul,624702,60,19,0,79
Uttarakhand,Rudraprayag,246421,67,12,0,79
Karnataka,Hassan,573130,76,3,0,79
Karnataka,Bijapur,586211,61,18,0,79
Andhra Pradesh,Kurnool,518385,76,3,0,79
Karnataka,Hassan,573102,72,7,0,79
Telangana,Vikarabad,501143,69,10,0,79
Telangana,Jogulamba Gadwal,509153,68,11,0,79
Tamil Nadu,Tiruvallur,631303,66,13,0,79
Odisha,Angul,759124,71,8,0,79
Gujarat,Junagadh,362263,71,5,3,79
Andhra Pradesh,Chittoor,517124,63,15,1,79
Karnataka,Shimoga,577428,75,4,0,79
Kerala,Kannur,670571,63,14,2,79
Karnataka,Tumakuru,572216,75,4,0,79
Uttar Pradesh,Kanpur Nagar,208015,37,42,0,79
Maharashtra,Satara,415014,75,4,0,79
Maharashtra,Ahmadnagar,413205,49,30,0,79
Tamil Nadu,Tiruvannamalai,606701,75,2,2,79
Andhra Pradesh,Nellore,524228,69,10,0,79
Tamil Nadu,Tirupattur,635751,72,7,0,79
Telangana,Medak,502251,68,11,0,79
Bihar,Rohtas,802226,15,61,3,79
Karnataka,Belagavi,591106,75,4,0,79
Karnataka,Bangalore,560100,55,24,0,79
Madhya Pradesh,Betul,460665,72,6,1,79
Chhattisgarh,Baloda Bazar,493196,75,4,0,79
Tamil Nadu,Viluppuram,605755,62,17,0,79
Arunachal Pradesh,Siang,791001,28,50,1,79
West Bengal,Jhargram,721506,70,8,1,79
Assam,Kokrajhar,783347,56,20,3,79
Karnataka,Dakshina Kannada,574220,74,3,2,79
Andhra Pradesh,Ananthapur,515001,67,12,0,79
Odisha,Ganjam,761030,71,8,0,79
Andhra Pradesh,Mahbubnagar,509104,54,25,0,79
West Bengal,Barddhaman,713205,50,29,0,79
Maharashtra,Nagpur,440001,68,9,1,78
Rajasthan,Tonk,304803,61,17,0,78
Tamil Nadu,Tiruchirappalli,621702,62,16,0,78
Maharashtra,Nanded,431646,63,14,1,78
Punjab,Gurdaspur,143520,73,5,0,78
Punjab,Gurdaspur,143528,75,3,0,78
Punjab,Fazilka,152122,70,7,1,78
Uttar Pradesh,Lucknow,226007,46,29,3,78
Odisha,Cuttack,754201,64,14,0,78
Telangana,Warangal Rural,506122,66,12,0,78
Jharkhand,Ranchi,829205,50,28,0,78
Haryana,Gurgaon,122414,77,1,0,78
Karnataka,Davangere,577514,72,5,1,78
Karnataka,Davangere,577223,71,6,1,78
Bihar,Munger,813213,31,46,1,78
Odisha,Jajapur,755043,55,23,0,78
Odisha,Jajpur,755011,66,12,0,78
Karnataka,Dakshina Kannada,574326,77,1,0,78
Bihar,Sheohar,843325,48,30,0,78
Arunachal Pradesh,Namsai,792103,41,37,0,78
Kerala,Wayanad,673122,64,14,0,78
Punjab,Mansa,151503,68,8,2,78
Gujarat,Anand,388340,72,3,3,78
Gujarat,Anand,388350,68,3,7,78
Kerala,Malappuram,679579,45,30,3,78
Tamil Nadu,Cuddalore,607205,63,14,1,78
Uttar Pradesh,Kushinagar,274403,27,51,0,78
Telangana,Kamareddy,503310,75,3,0,78
West Bengal,South 24 Parganas,700149,41,34,3,78
Telangana,Khammam,507169,56,22,0,78
Odisha,Mayurbhanj,757024,63,13,2,78
Nagaland,Dimapur,797116,41,37,0,78
Maharashtra,Gadchiroli,441217,74,4,0,78
Maharashtra,Satara,415109,76,2,0,78
Karnataka,Bengaluru,560038,28,21,29,78
Karnataka,Ramanagar,562121,72,6,0,78
Uttarakhand,Rudraprayag,246419,73,5,0,78
Kerala,Palakkad,679305,60,17,1,78
Telangana,Bhadradri Kothagudem,507111,68,10,0,78
Karnataka,Chikkaballapur,561212,67,11,0,78
Andhra Pradesh,Mahabub Nagar,509129,50,28,0,78
Tamil Nadu,Villupuram,604306,64,14,0,78
Telangana,Medchalâˆ’Malkajgiri,500090,58,20,0,78
West Bengal,Maldah,732206,62,16,0,78
Maharashtra,Ratnagiri,415604,73,5,0,78
Kerala,Thrissur,679562,32,37,9,78
Telangana,Rajanna Sircilla,505305,74,3,1,78
Telangana,Peddapalli,505184,68,10,0,78
Jammu And Kashmir,Anantnag,192129,67,9,2,78
West Bengal,Darjiling,734429,56,21,1,78
West Bengal,Darjeeling,734203,49,21,8,78
West Bengal,North 24 Parganas,700156,55,19,4,78
Uttarakhand,Pithoragarh,262553,57,21,0,78
Uttarakhand,Dehradun,248158,68,10,0,78
West Bengal,North 24 Parganas,700120,45,22,11,78
Andhra Pradesh,Krishna,521002,68,9,1,78
Karnataka,Mandya,571404,73,5,0,78
Tripura,West Tripura,799006,50,27,1,78
Karnataka,Ballari,583201,73,5,0,78
Tamil Nadu,Vellore,635652,64,14,0,78
Bihar,Gaya,805129,12,66,0,78
Tamil Nadu,Thoothukkudi,628215,58,20,0,78
Tamil Nadu,Thiruvarur,614717,51,27,0,78
Kerala,Thrissur,680014,63,13,2,78
Chhattisgarh,Dhamtari,493885,76,2,0,78
Odisha,Sundergarh,769003,60,18,0,78
Andhra Pradesh,Chittoor,517619,70,8,0,78
Karnataka,Hassan,573121,70,8,0,78
Tripura,North Tripura,799253,54,23,1,78
Andhra Pradesh,East Godavari,533286,70,8,0,78
Madhya Pradesh,Guna,473249,60,18,0,78
Punjab,Amritsar,143205,69,7,2,78
West Bengal,Paschim Medinipur,721153,60,18,0,78
Karnataka,Udupi,576215,75,3,0,78
Telangana,K.V. Rangareddy,500083,55,23,0,78
Tamil Nadu,Villupuram,606107,63,15,0,78
Andhra Pradesh,East Godavari,533001,74,4,0,78
Uttar Pradesh,Rae Bareli,229126,49,29,0,78
Odisha,Kendrapara,754141,67,10,1,78
Telangana,Nizamabad,503218,73,5,0,78
Telangana,Nizamabad,503188,69,9,0,78
Kerala,Malappuram,676510,48,29,1,78
Kerala,Malappuram,676319,71,7,0,78
Bihar,Nalanda,805105,25,53,0,78
Tamil Nadu,Nagapattinam,609301,51,27,0,78
Karnataka,Dharwad,581206,75,3,0,78
Karnataka,Chitradurga,577539,76,2,0,78
Karnataka,Chitradurga,577533,62,14,2,78
Telangana,Nirmal,504102,70,8,0,78
Karnataka,Vijayapura,586109,70,8,0,78
West Bengal,Purba Bardhaman,713125,69,5,4,78
Rajasthan,Hanumangarh,335503,66,12,0,78
Uttar Pradesh,Ghazipur,232325,33,45,0,78
Tamil Nadu,Coimbatore,641110,65,13,0,78
Haryana,Bhiwani,127029,77,1,0,78
Tamil Nadu,Salem,637504,61,13,4,78
Gujarat,Surat,394326,64,14,0,78
Karnataka,Mysore,571110,74,4,0,78
Karnataka,Ballari,583212,64,14,0,78
Andhra Pradesh,Krishna,521105,73,5,0,78
Maharashtra,Nagpur,440016,68,9,1,78
Madhya Pradesh,Chhatarpur,471202,58,20,0,78
Andhra Pradesh,Visakhapatnam,531002,77,1,0,78
Rajasthan,Jalor,343028,50,28,0,78
Telangana,Karimnagar,505454,70,8,0,78
Andhra Pradesh,Adilabad,504311,55,22,0,77
Andhra Pradesh,Guntur,522437,70,7,0,77
Bihar,Buxar,802115,30,46,1,77
Telangana,Khammam,507114,66,10,1,77
Tamil Nadu,Tirunelveli,627857,74,3,0,77
Punjab,Malerkotla,148022,68,7,2,77
West Bengal,Birbhum,731129,72,5,0,77
Andhra Pradesh,West Godavari,534199,74,2,1,77
Gujarat,Junagadh,362620,74,3,0,77
Bihar,Muzaffarpur,843132,34,43,0,77
Karnataka,Bangalore,560099,60,17,0,77
Gujarat,Ahmedabad,382455,62,15,0,77
West Bengal,Paschim Medinipur,721502,64,13,0,77
Karnataka,Belagavi,590005,73,4,0,77
Telangana,Nizamabad,503111,69,8,0,77
Rajasthan,Nagaur,341029,47,29,1,77
West Bengal,Kolkata,700010,34,37,6,77
Assam,Karbi Anglong,782447,50,18,9,77
Punjab,Hoshiarpur,144208,68,5,4,77
Tamil Nadu,Nagapattinam,609806,62,15,0,77
Tamil Nadu,Villupuram,607203,63,14,0,77
Odisha,Cuttack,754027,65,12,0,77
Tamil Nadu,Nagapattinam,611112,70,7,0,77
Kerala,Kollam,691014,63,12,2,77
Uttar Pradesh,Unnao,209864,53,24,0,77
Tamil Nadu,Salem,636101,67,9,1,77
Karnataka,Kodagu,571236,68,5,4,77
Gujarat,Kheda,387315,53,18,6,77
Tamil Nadu,Kancheepuram,603301,65,12,0,77
Assam,Biswanath,784179,59,16,2,77
Andhra Pradesh,Kurnool,518123,74,3,0,77
Arunachal Pradesh,Papum Pare,791113,39,38,0,77
Karnataka,Shimoga,577413,72,5,0,77
Bihar,Patna,811104,23,54,0,77
Andhra Pradesh,East Godavari,533446,74,3,0,77
West Bengal,Cooch Behar,735304,27,47,3,77
Tamil Nadu,Thoothukkudi,628905,73,4,0,77
Rajasthan,Pali,306119,59,18,0,77
Andhra Pradesh,Cuddapah,516214,75,2,0,77
West Bengal,Cooch Behar,736207,38,36,3,77
Maharashtra,Hingoli,431509,53,23,1,77
Haryana,Karnal,132022,75,2,0,77
Maharashtra,Raigad,410201,63,12,2,77
Uttar Pradesh,Bhadohi,221401,40,36,1,77
Kerala,Thiruvananthapuram,695542,66,11,0,77
Uttar Pradesh,Ghaziabad,245301,37,40,0,77
Haryana,Karnal,132023,75,2,0,77
Karnataka,Belgaum,591227,60,17,0,77
West Bengal,Paschim Medinipur,721145,39,35,3,77
Tamil Nadu,Chennai,600107,63,14,0,77
Tamil Nadu,Karur,639117,68,8,1,77
Jharkhand,West Singhbhum,835216,35,41,1,77
Andhra Pradesh,Srikakulam,532403,73,4,0,77
Tamil Nadu,Kancheepuram,631552,66,11,0,77
Tamil Nadu,Kanniyakumari,629160,73,4,0,77
Maharashtra,Thane,401303,59,18,0,77
Karnataka,Ramanagar,562108,71,6,0,77
Andhra Pradesh,Chittoor,517417,73,4,0,77
Andhra Pradesh,Kurnool,518345,68,9,0,77
Rajasthan,Banswara,327605,58,19,0,77
Uttar Pradesh,Allahabad,211007,43,34,0,77
Maharashtra,Solapur,413403,72,5,0,77
Uttarakhand,Pauri Garhwal,246121,66,11,0,77
Karnataka,Bengaluru,560050,61,7,9,77
Odisha,Puri,752114,66,11,0,77
Andhra Pradesh,Nellore,524142,64,13,0,77
Maharashtra,Solapur,413402,69,8,0,77
Andhra Pradesh,Chittoor,517002,67,4,6,77
Chhattisgarh,Khairagarh Chhuikhadan Gandai,491885,61,16,0,77
Tamil Nadu,Tiruvannamalai,606801,75,2,0,77
Kerala,Kannur,670621,51,24,2,77
Andhra Pradesh,Rangareddi,500005,66,11,0,77
Tamil Nadu,Ramanathapuram,623528,58,18,1,77
Tamil Nadu,Ramanathapuram,623409,70,7,0,77
Odisha,Bargarh,768102,69,8,0,77
Haryana,Hisar,125006,71,6,0,77
West Bengal,Howrah,711404,61,15,1,77
Tripura,Gomati,799101,53,24,0,77
Maharashtra,Wardha,442102,75,2,0,77
Gujarat,Sabarkantha,383245,65,12,0,77
Karnataka,Bidar,585417,59,17,1,77
Telangana,Karimnagar,505526,65,12,0,77
Andhra Pradesh,Krishna,521108,69,8,0,77
Tamil Nadu,Ariyalur,621719,63,14,0,77
Odisha,Nayagarh,752082,71,4,2,77
Bihar,Patna,801506,20,57,0,77
Delhi,South West Delhi,110072,68,9,0,77
Andhra Pradesh,Cuddapah,516130,72,5,0,77
Bihar,Patna,800025,32,43,2,77
Maharashtra,Raigad,410203,51,22,4,77
Gujarat,Vadodara,391450,70,5,2,77
Odisha,Kendujhar,758045,65,12,0,77
Karnataka,Belgaum,591309,63,14,0,77
Kerala,Kozhikode,673307,61,16,0,77
Gujarat,Mahesana,382830,73,4,0,77
Uttar Pradesh,Faizabad,224234,35,42,0,77
Tamil Nadu,Tiruvallur,600123,65,10,2,77
Tamil Nadu,Krishnagiri,635002,68,9,0,77
Odisha,Kendujhar,758046,65,11,1,77
Odisha,Kendrapara,754210,63,14,0,77
Telangana,Medak,502248,70,6,0,76
Karnataka,Bangalore,560005,60,16,0,76
Maharashtra,Akola,444511,67,9,0,76
Kerala,Wayanad,670731,65,10,1,76
Gujarat,Amreli,364525,61,14,1,76
Maharashtra,Mumbai Suburban,400081,64,12,0,76
Karnataka,Bijapur,586205,47,29,0,76
Karnataka,Kolar,563133,69,7,0,76
Maharashtra,Akola,444104,71,5,0,76
Bihar,Madhubani,847213,43,33,0,76
Maharashtra,Kolhapur,416206,71,5,0,76
Maharashtra,Chandrapur,442916,67,9,0,76
Andhra Pradesh,West Godavari,534425,72,4,0,76
Assam,Jorhat,785008,56,14,6,76
West Bengal,Bankura,722208,55,18,3,76
Jharkhand,Bokaro,829114,43,33,0,76
Tamil Nadu,Vellore,632012,62,14,0,76
West Bengal,Haora,711310,53,23,0,76
West Bengal,North 24 Parganas,700051,38,26,12,76
Maharashtra,Mumbai,400028,55,21,0,76
Kerala,Wayanad,670721,64,12,0,76
Karnataka,Belagavi,591201,68,4,4,76
Tamil Nadu,Tirunelveli,627353,65,11,0,76
Telangana,Khammam,507305,55,20,1,76
Maharashtra,Nagpur,440032,66,10,0,76
West Bengal,Purba Medinipur,721643,73,3,0,76
Maharashtra,Mumbai,400091,50,26,0,76
Punjab,Malerkotla,148020,66,10,0,76
Kerala,Palakkad,678592,61,11,4,76
Odisha,Cuttack,754025,45,31,0,76
Kerala,Malappuram,676562,55,20,1,76
West Bengal,Kolkata,700025,41,32,3,76
Kerala,Ernakulam,683105,47,28,1,76
Maharashtra,Mumbai,400052,58,18,0,76
Rajasthan,Sikar,332030,51,25,0,76
Odisha,Kendrapara,754227,47,28,1,76
Tamil Nadu,Villupuram,606204,65,11,0,76
Tamil Nadu,Namakkal,638007,60,16,0,76
Kerala,Ernakulam,683520,51,19,6,76
Maharashtra,Pune,411004,60,8,8,76
Andhra Pradesh,Srikakulam,532458,75,1,0,76
Rajasthan,Udaipur,313206,54,21,1,76
Punjab,Amritsar,143111,70,6,0,76
Jharkhand,Pashchimi Singhbhum,833215,36,40,0,76
Uttarakhand,Udham Singh Nagar,263151,70,5,1,76
Karnataka,Bangalore,560027,63,13,0,76
Maharashtra,Gadchiroli,442703,75,1,0,76
Punjab,Amritsar,143113,70,6,0,76
Andhra Pradesh,Nellore,524345,66,10,0,76
Andhra Pradesh,Prakasam,523112,65,11,0,76
Uttar Pradesh,Bhadohi,221304,44,31,1,76
Andhra Pradesh,Kurnool,518511,73,3,0,76
Andhra Pradesh,Kurnool,518396,71,5,0,76
Andhra Pradesh,Vizianagaram,535215,75,1,0,76
Assam,Nalbari,781371,49,27,0,76
Rajasthan,Pali,306709,51,24,1,76
Andhra Pradesh,Krishna,521325,71,5,0,76
Karnataka,Chamrajanagar,571342,74,2,0,76
Odisha,Koraput,764041,59,17,0,76
Jharkhand,Ramgarh,829102,52,23,1,76
Rajasthan,Ajmer,305922,59,16,1,76
Andhra Pradesh,Ananthapuramu,515812,71,5,0,76
Tamil Nadu,Tiruvannamalai,604501,67,9,0,76
Karnataka,Chikkaballapur,561209,69,7,0,76
Kerala,Palakkad,679501,61,15,0,76
Tamil Nadu,Tiruvallur,600110,51,25,0,76
Uttar Pradesh,Faizabad,224229,38,38,0,76
Tamil Nadu,Krishnagiri,635114,61,15,0,76
Tamil Nadu,Tiruchirappalli,621601,70,6,0,76
Punjab,Hoshiarpur,144204,64,7,5,76
Karnataka,Belagavi,591306,71,3,2,76
West Bengal,Barddhaman,713303,53,23,0,76
Bihar,Siwan,841420,21,54,1,76
Maharashtra,Nagpur,441304,72,4,0,76
Maharashtra,Nanded,431741,51,22,3,76
Gujarat,Mahesana,382165,60,12,4,76
Tamil Nadu,Pudukkottai,622407,64,12,0,76
Andhra Pradesh,East Godavari,533308,70,6,0,76
West Bengal,Hooghly,712234,54,21,1,76
Tamil Nadu,Thanjavur,612503,51,24,1,76
Rajasthan,Rajsamand,313328,49,26,1,76
Kerala,Malappuram,676109,61,15,0,76
Himachal Pradesh,Mandi,175027,74,1,1,76
Karnataka,Bengaluru South,562160,2,74,0,76
Assam,Kamrup,781132,58,18,0,76
Tamil Nadu,Vellore,632517,72,4,0,76
Maharashtra,Washim,444510,73,3,0,76
Assam,Dibrugarh,785676,54,13,9,76
Odisha,Jagatsinghapur,754107,65,10,1,76
Punjab,Sri Muktsar Sahib,151210,72,4,0,76
West Bengal,Nadia,741161,56,20,0,76
Jammu And Kashmir,Jammu,180005,47,29,0,76
Telangana,Mahabubnagar,509353,58,18,0,76
Rajasthan,Jaisalmer,345022,54,22,0,76
Telangana,Kamareddy,503120,75,1,0,76
Rajasthan,Jaisalmer,345024,45,30,1,76
Tamil Nadu,Salem,636401,67,8,1,76
Bihar,Khagaria,848201,37,37,2,76
Tamil Nadu,Vellore,635805,60,16,0,76
Assam,Barpeta,781312,50,21,4,75
Tamil Nadu,Ariyalur,621806,63,12,0,75
Tamil Nadu,Sivaganga,630411,61,14,0,75
Maharashtra,Wardha,442304,72,3,0,75
Maharashtra,Beed,431125,60,11,4,75
Kerala,Kollam,691505,53,16,6,75
Tamil Nadu,Villupuram,606208,63,12,0,75
Telangana,Medak,502306,57,18,0,75
